"datex","EPOCH1","EPOCH2","EPOCH3","EPOCH4"
2020-09-27,33,3,13,6
2020-09-28,33,3,13,6
2020-09-29,33,3,13,6
2020-09-30,33,3,13,6
2020-10-01,33,3,13,6
2020-10-02,33,3,13,6
2020-10-03,33,2,14,6
2020-10-04,33,2,14,6
2020-10-05,33,2,13,7
2020-10-06,33,2,13,7
2020-10-07,33,2,12,8
2020-10-08,33,2,12,8
2020-10-09,33,2,12,8
2020-10-10,33,2,12,8
2020-10-11,33,2,12,8
2020-10-12,33,2,12,8
2020-10-13,33,2,12,8
2020-10-14,33,2,12,8
2020-10-15,33,2,12,8
2020-10-16,33,2,12,8
2020-10-17,33,3,11,8
2020-10-18,33,3,11,8
2020-10-19,33,3,11,8
2020-10-20,33,3,11,8
2020-10-21,33,3,11,8
2020-10-22,33,4,11,7
2020-10-23,33,4,11,7
2020-10-24,33,4,11,7
2020-10-25,33,4,11,7
2020-10-26,33,4,11,7
2020-10-27,33,4,11,7
2020-10-28,33,4,11,7
2020-10-29,33,4,11,7
2020-10-30,33,5,10,7
2020-10-31,33,5,10,7
2020-11-01,33,5,10,7
2020-11-02,33,5,9,8
2020-11-03,33,5,9,8
2020-11-04,33,5,8,9
2020-11-05,33,5,8,9
2020-11-06,33,5,8,9
2020-11-07,33,5,8,9
2020-11-08,33,5,8,9
2020-11-09,33,5,8,9
2020-11-10,33,5,8,9
2020-11-11,33,5,8,9
2020-11-12,33,5,8,9
